transaction_id,bill_id,transaction_date,transaction_time,amount,state,transaction_type
TXN001,FAC7068,01/06/2024,10:00:00,38940,Pending,bill_payment
TXN002,FAC6577,09/07/2024,12:00:00,75145,Pending,bill_payment
TXN003,FAC5707,13/06/2024,10:00:00,179217,Failed,bill_payment
TXN004,FAC7188,26/07/2024,13:00:00,51767,Failed,bill_payment
TXN005,FAC7289,28/07/2024,6:00:00,156501,Complete,bill_payment
TXN006,FAC2190,16/07/2024,21:00:00,32428,Complete,bill_payment
TXN007,FAC6207,26/07/2024,22:00:00,75301,Pending,bill_payment
TXN008,FAC1691,17/06/2024,16:00:00,16870,Pending,bill_payment
TXN009,FAC4680,10/07/2024,23:00:00,21794,Failed,bill_payment
TXN010,FAC8010,19/06/2024,23:00:00,193307,Complete,bill_payment
TXN011,FAC1328,01/06/2024,6:00:00,159093,Complete,bill_payment
TXN012,FAC8140,12/07/2024,19:00:00,174518,Pending,bill_payment
TXN013,FAC4679,04/07/2024,12:00:00,110254,Failed,bill_payment
TXN014,FAC3589,12/07/2024,4:00:00,162283,Pending,bill_payment
TXN015,FAC6122,21/06/2024,12:00:00,22161,Pending,bill_payment
TXN016,FAC4870,08/07/2024,12:00:00,195775,Pending,bill_payment
TXN017,FAC5322,27/06/2024,3:00:00,20824,Failed,bill_payment
TXN018,FAC8663,09/07/2024,5:00:00,191134,Complete,bill_payment
TXN019,FAC4380,16/06/2024,20:00:00,62979,Complete,bill_payment
TXN020,FAC5128,08/06/2024,22:00:00,36472,Failed,bill_payment
TXN021,FAC7986,16/06/2024,6:00:00,127881,Complete,bill_payment
TXN022,FAC7543,30/07/2024,3:00:00,26317,Failed,bill_payment
TXN023,FAC7964,27/07/2024,1:00:00,147364,Pending,bill_payment
TXN024,FAC1309,26/06/2024,1:00:00,153404,Pending,bill_payment
TXN025,FAC8025,07/07/2024,10:00:00,14210,Complete,bill_payment
TXN026,FAC8943,08/06/2024,19:00:00,49012,Complete,bill_payment
TXN027,FAC1190,28/06/2024,6:00:00,40302,Failed,bill_payment
TXN028,FAC4264,03/07/2024,1:00:00,27833,Pending,bill_payment
TXN029,FAC1462,29/07/2024,2:00:00,30313,Failed,bill_payment
TXN030,FAC6381,26/07/2024,20:00:00,134884,Failed,bill_payment
TXN031,FAC8571,03/07/2024,10:00:00,28982,Complete,bill_payment
TXN032,FAC7018,15/06/2024,17:00:00,158030,Pending,bill_payment
TXN033,FAC4082,24/06/2024,8:00:00,196009,Failed,bill_payment
TXN034,FAC5756,22/06/2024,17:00:00,68526,Pending,bill_payment
TXN035,FAC9278,23/06/2024,12:00:00,165287,Complete,bill_payment
TXN036,FAC6223,28/06/2024,11:00:00,178265,Failed,bill_payment
TXN037,FAC8510,23/07/2024,18:00:00,98069,Complete,bill_payment
TXN038,FAC4305,28/07/2024,0:00:00,153150,Complete,bill_payment
TXN039,FAC9358,05/06/2024,12:00:00,86902,Pending,bill_payment
TXN040,FAC1208,28/06/2024,4:00:00,96457,Pending,bill_payment
TXN041,FAC5492,07/06/2024,20:00:00,145586,Failed,bill_payment
TXN042,FAC6585,15/07/2024,19:00:00,163425,Failed,bill_payment
TXN043,FAC2187,26/07/2024,2:00:00,186218,Pending,bill_payment
TXN044,FAC7545,12/07/2024,1:00:00,159000,Failed,bill_payment
TXN045,FAC9699,21/07/2024,21:00:00,94554,Pending,bill_payment
TXN046,FAC2512,26/07/2024,11:00:00,152659,Failed,bill_payment
TXN047,FAC1330,05/06/2024,17:00:00,165021,Pending,bill_payment
TXN048,FAC9310,10/06/2024,10:00:00,115066,Complete,bill_payment
TXN049,FAC9524,03/06/2024,20:00:00,161029,Complete,bill_payment
TXN050,FAC7938,29/07/2024,3:00:00,167924,Complete,bill_payment
TXN051,FAC8649,24/07/2024,19:00:00,147991,Pending,bill_payment
TXN052,FAC4348,26/07/2024,11:00:00,124048,Complete,bill_payment
TXN053,FAC9905,13/07/2024,23:00:00,138162,Complete,bill_payment
TXN054,FAC5210,28/06/2024,0:00:00,161137,Failed,bill_payment
TXN055,FAC8033,17/06/2024,3:00:00,35669,Failed,bill_payment
TXN056,FAC7850,06/07/2024,7:00:00,67867,Failed,bill_payment
TXN057,FAC7378,25/07/2024,20:00:00,58242,Failed,bill_payment
TXN058,FAC3104,09/06/2024,20:00:00,113319,Pending,bill_payment
